,full_text,sentimen,aspect
0,perth in grip of cvid wave amp  superspreader coldplay concerts this weekend  over k people k flying in from elsewhere   epidemiologist  says wear mask preferably n on public transport amp  at stadium      ,Neutral,no aspect
1,reading all the tweets abt how chaos coldplay concert last night due to poor management from promoter made me glad taylor didnt add indonesia in eras tour list,Negative,no aspect
2, malaysia kita benci lgbt movement  holds coldplay concert,Neutral,no aspect
3,i still cant figure it out why i dont have the fuckin ticket for coldplay concert why the fuck some of those fomo gangs that only knows yellow or fix you got the fuckin ticket like howwww this is so unfair,Negative,ticket
4,coldplay concert tix cutie,Positive,no aspect
5,the way that virtually no tweets about yesterdays coldplay concert except for chris martin taking a walk in sudirman reached my timeline  ,Negative,no aspect
6, next concert i will see it ,Neutral,no aspect
7, singapore just take advantage with longer concert with most audiences also from indonesia,Positive,no aspect
8,   yes pas pusat should hold all their activities there eg annual party convention ceramah politik protest against coldplay concert  issue fatwa that all diehard pas supporters to holiday there and nowhere else eg golok london singapore,Positive,no aspect
9,waking up and realize that your friends send you coldplay concert videos is sooo nyebelinnn ,Positive,no aspect
10,all those coldplay concert footage in jakarta surely bring back all the great old memories in   so maybe thats why you coming to my dream again ya ,Positive,experience
11,me  not opening tiktok and insta to avoid coldplay concert  me open twitter  aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa ,Negative,no aspect
12,more than  conservative muslims marched in indonesias capital on wednesday calling for the cancellation of a coldplay concert that night over the british bands support for the lgbtq community ,Positive,no aspect
13, see u on the next concert promise u will comeback to indonesia,Positive,no aspect
14,lastnite was coldplay concert at gbk oh ,Neutral,no aspect
15,i didnt know coldplay concert in jkt had chaos at the back its crazy how some people felt no embarrassment asking to open the gate and entering without tix lmao,Negative,no aspect
16, enjoy coldplay  their concerts are so much fun  looking forward to hearing all about it ,Positive,no aspect
17,me with my coldplay concert,Neutral,no aspect
18,scientists warn coldplay fans to dust off face masks ahead of perth concerts ,Negative,no aspect
19,dang now thats what i call wishful thinking imagine coldplay playing a concert in vietnam,Positive,no aspect
20,mark my words i will watch coldplay concert before i die unless they retire after mots tour,Negative,no aspect
21, the best experience concert i came in jakarta ,Positive,experience
22, kicking people off flights to perth and changing the flights to saturday not sure how were going to make the  concert     ,Negative,no aspect
23,my universes fancams are so beautiful   crying seeing my bangtan on screen and almost becomes envious towards my friend who went to coldplay concert,Positive,no aspect
24,id do anything for coldplay to have a concert in nigeria,Neutral,no aspect
25,coldplay concert india  tickets price booking dates for asia tour ,Neutral,ticket
26, multi day concert please,Positive,no aspect
